12.01.2015;Иван;Иванов;Петрович;Гомель;Беларусь
03.02.2015;Анна;Соколова;Сергеевна;Минск;Беларусь
18.03.2016;Алексей;Петров;Андреевич;Москва;Россия
25.04.2016;Мария;Коваль;Олеговна;Брест;Беларусь
07.05.2017;Дмитрий;Орлов;Викторович;Витебск;Беларусь
19.06.2017;Елена;Морозова;Алексеевна;Санкт-Петербург;Россия
11.07.2018;Сергей;Кузнецов;Ильич;Могилёв;Беларусь
23.08.2018;Ольга;Волкова;Николаевна;Казань;Россия
04.09.2019;Павел;Смирнов;Дмитриевич;Гродно;Беларусь
16.10.2019;Наталья;Фёдорова;Игоревна;Екатеринбург;Россия
28.11.2020;Артём;Васильев;Романович;Барановичи;Беларусь
09.12.2020;Татьяна;Никитина;Владимировна;Новосибирск;Россия
14.01.2021;Максим;Захаров;Евгеньевич;Пинск;Беларусь
26.02.2021;Светлана;Беляева;Михайловна;Самара;Россия
08.03.2021;Кирилл;Громов;Александрович;Бобруйск;Беларусь
20.04.2021;Виктория;Романова;Павловна;Нижний Новгород;Россия
02.05.2022;Роман;Климов;Вадимович;Орша;Беларусь
15.06.2022;Дарья;Лебедева;Аркадьевна;Воронеж;Россия
27.07.2022;Егор;Мельников;Степанович;Лида;Беларусь
10.08.2022;Ирина;Крылова;Юрьевна;Ростов-на-Дону;Россия
22.09.2023;Николай;Егоров;Геннадьевич;Новополоцк;Беларусь
05.10.2023;Полина;Макарова;Денисовна;Краснодар;Россия
17.11.2023;Владислав;Тихонов;Олегович;Слуцк;Беларусь
29.12.2023;Ксения;Семенова;Максимовна;Тула;Россия
13.01.2024;Андрей;Борисов;Валерьевич;Солигорск;Беларусь
24.02.2024;Юлия;Антонова;Витальевна;Ярославль;Россия
06.03.2024;Михаил;Данилов;Григорьевич;Полоцк;Беларусь
18.04.2024;Алёна;Котова;Рудольфовна;Калуга;Россия
30.05.2024;Вадим;Ковалёв;Арсеньевич;Жлобин;Беларусь
12.06.2024;Вера;Савельева;Константиновна;Псков;Россия
25.07.2024;Олег;Жуков;Васильевич;Мозырь;Беларусь
07.08.2024;Людмила;Гаврилова;Борисовна;Великий Новгород;Россия
19.09.2024;Степан;Маслов;Филиппович;Молодечно;Беларусь
01.10.2024;Екатерина;Наумова;Леонидовна;Сочи;Россия
14.11.2024;Глеб;Чернов;Антонович;Речица;Беларусь
26.12.2024;Марина;Юдина;Анатольевна;Архангельск;Россия
05.01.2025;Илья;Алексеев;Петрович;Минск;Беларусь
11.01.2025;София;Миронова;Андреевна;Москва;Россия
18.01.2025;Денис;Карпов;Олегович;Гомель;Беларусь
24.01.2025;Анастасия;Комарова;Игоревна;Санкт-Петербург;Россия
02.02.2025;Арсений;Богданов;Михайлович;Брест;Беларусь
09.02.2025;Валерия;Фомина;Сергеевна;Казань;Россия
15.02.2025;Матвей;Зайцев;Романович;Витебск;Беларусь
21.02.2025;Елизавета;Павлова;Дмитриевна;Самара;Россия
01.03.2025;Тимофей;Соловьёв;Алексеевич;Могилёв;Беларусь
08.03.2025;Алиса;Виноградова;Павловна;Тула;Россия
14.03.2025;Константин;Белов;Викторович;Гродно;Беларусь
20.03.2025;Надежда;Киселёва;Николаевна;Псков;Россия
27.03.2025;Ярослав;Дроздов;Ильич;Пинск;Беларусь
03.04.2025;Оксана;Тарасова;Валерьевна;Воронеж;Россия
10.04.2025;Богдан;Фролов;Евгеньевич;Бобруйск;Беларусь
16.04.2025;Лариса;Мартынова;Геннадьевна;Калуга;Россия
23.04.2025;Вячеслав;Максимов;Степанович;Орша;Беларусь
29.04.2025;Диана;Осипова;Вадимовна;Ярославль;Россия
